Date,AGG,BND,TLT,IEF,SHY,LQD,HYG,TIP,MUB,EMB
2015-04-16 00:00:00-04:00,85.74678039550781,63.194740295410156,100.60330200195312,88.60820007324219,72.14707946777344,86.92259979248047,53.941162109375,88.47897338867188,86.95525360107422,70.54672241210938
2015-04-17 00:00:00-04:00,85.81593322753906,63.30073165893555,101.75677490234375,88.78742218017578,72.11310577392578,87.15794372558594,53.77577209472656,89.0417709350586,87.01839447021484,70.45348358154297
2015-04-20 00:00:00-04:00,85.75444793701172,63.232566833496094,100.85877227783203,88.62445068359375,72.10462188720703,86.95114135742188,53.89392852783203,88.80274963378906,86.9473648071289,70.28568267822266
2015-04-21 00:00:00-04:00,85.66221618652344,63.1568717956543,100.40205383300781,88.43710327148438,72.11310577392578,86.9297103881836,53.929386138916016,88.48664855957031,86.89215087890625,70.34785461425781
2015-04-22 00:00:00-04:00,85.40864562988281,62.92216491699219,98.86930847167969,87.92379760742188,72.05367279052734,86.36641693115234,53.876190185546875,88.07798767089844,86.75807189941406,70.6026611328125
2015-04-23 00:00:00-04:00,85.53925323486328,63.04331588745117,99.29508972167969,88.19264221191406,72.0876235961914,86.5874252319336,53.85850143432617,88.30160522460938,86.7186279296875,70.76422119140625
2015-04-24 00:00:00-04:00,85.68531799316406,63.1417350769043,99.91436767578125,88.50225830078125,72.11310577392578,86.75143432617188,53.947086334228516,88.67939758300781,86.82909393310547,70.91337585449219
2015-04-27 00:00:00-04:00,85.71598815917969,63.09629821777344,99.91436767578125,88.36372375488281,72.10462188720703,86.6872787475586,53.96481704711914,88.69483947753906,86.76596069335938,70.994140625
2015-04-28 00:00:00-04:00,85.3856201171875,62.89945983886719,98.53642272949219,87.9564437866211,72.0706558227539,86.17383575439453,53.88211441040039,88.18596649169922,86.68709564208984,70.94444274902344
2015-04-29 00:00:00-04:00,85.19349670410156,62.7026252746582,97.32884216308594,87.6304702758789,72.07913970947266,85.4606704711914,53.78169631958008,88.0240478515625,86.54508209228516,70.49699401855469
2015-04-30 00:00:00-04:00,85.19349670410156,62.770782470703125,97.4991226196289,87.60607147216797,72.0706558227539,85.53199005126953,53.75214767456055,88.17052459716797,86.4346923828125,70.29812622070312
2015-05-01 00:00:00-04:00,84.95166778564453,62.580326080322266,96.1866455078125,87.12709045410156,72.04094696044922,85.06005859375,53.87199401855469,87.80821228027344,86.26471710205078,70.36796569824219
2015-05-04 00:00:00-04:00,84.78998565673828,62.489315032958984,95.27912139892578,86.9476089477539,72.04094696044922,84.78831481933594,53.86014938354492,87.46894073486328,86.2725830078125,70.2682113647461
2015-05-05 00:00:00-04:00,84.7130355834961,62.39073181152344,95.14720916748047,86.8006820678711,72.02397155761719,84.64530181884766,53.78893280029297,87.43041229248047,86.20940399169922,70.16217041015625
2015-05-06 00:00:00-04:00,84.42818450927734,62.216251373291016,93.51823425292969,86.37644958496094,71.9984359741211,84.28059387207031,53.62871170043945,86.72881317138672,85.8931884765625,70.14346313476562
2015-05-07 00:00:00-04:00,84.63607788085938,62.34521484375,94.77488708496094,86.74359893798828,71.97296142578125,84.6166763305664,53.622798919677734,86.95240020751953,86.11455535888672,70.0374526977539
2015-05-08 00:00:00-04:00,84.9132080078125,62.51207733154297,95.03089141845703,87.07813262939453,72.07489776611328,85.10297393798828,54.044090270996094,87.3147201538086,86.09081268310547,70.42412567138672
2015-05-11 00:00:00-04:00,84.37434387207031,62.185890197753906,92.71927642822266,86.2214126586914,72.00692749023438,84.24485778808594,53.70586395263672,86.52063751220703,85.79045104980469,70.09981536865234
2015-05-12 00:00:00-04:00,84.3666000366211,62.11006164550781,92.95978546142578,86.28667449951172,72.01543426513672,84.1232681274414,53.699920654296875,86.60547637939453,85.94063568115234,69.72564697265625
2015-05-13 00:00:00-04:00,84.35889434814453,62.07970428466797,92.21507263183594,86.17247772216797,72.04942321777344,84.04462432861328,53.622798919677734,86.47437286376953,85.79045104980469,69.80046844482422
2015-05-14 00:00:00-04:00,84.48979949951172,62.20103454589844,92.46331787109375,86.46620178222656,72.11737060546875,84.3306655883789,53.88387680053711,86.63628387451172,85.901123046875,70.03123474121094
2015-05-15 00:00:00-04:00,84.84391021728516,62.45138931274414,94.31718444824219,87.0863037109375,72.11737060546875,84.91704559326172,54.00253677368164,87.23766326904297,85.94857025146484,70.38045501708984
2015-05-18 00:00:00-04:00,84.52055358886719,62.223812103271484,92.73479461669922,86.49884033203125,72.07489776611328,84.2663345336914,53.913543701171875,86.77503967285156,85.66394805908203,70.19959259033203
2015-05-19 00:00:00-04:00,84.2280044555664,62.0872917175293,91.91255187988281,86.11531829833984,72.0324478149414,83.81580352783203,53.830482482910156,86.35871887207031,85.56914520263672,69.8565902709961
2015-05-20 00:00:00-04:00,84.35889434814453,62.0872917175293,92.06770324707031,86.30300903320312,72.05792999267578,83.9158935546875,53.76521301269531,86.59004211425781,85.57699584960938,69.91893005371094
2015-05-21 00:00:00-04:00,84.62062072753906,62.284507751464844,93.3553466796875,86.81704711914062,72.08340454101562,84.31635284423828,53.84233856201172,86.92155456542969,85.84579467773438,70.29315948486328
2015-05-22 00:00:00-04:00,84.52824401855469,62.246578216552734,93.39413452148438,86.62122344970703,72.0324478149414,84.25917053222656,53.88387680053711,87.06806182861328,85.70348358154297,70.38670349121094
2015-05-26 00:00:00-04:00,84.73612213134766,62.398284912109375,94.99211883544922,87.15972900390625,72.04094696044922,84.6310043334961,53.77114486694336,87.13741302490234,85.82998657226562,70.193359375
