Date,VOO,QQQ,IWF,IWM,VIG,BIL,SHY,IEF,TLT,GLD
2015-04-20 00:00:00-04:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015-04-21 00:00:00-04:00,0.9990119569585466,1.0042750226279469,1.0013950078766234,0.9989652867996041,0.9993829269894758,1.0002189376298953,1.0001178724093596,0.9978851069068257,0.9954711002092548,1.0057531034317644
2015-04-22 00:00:00-04:00,1.0039516041617658,1.0097583236509529,1.0065762505431468,1.0004775119651708,1.0039495882416125,1.0,0.9992938236444646,0.9920942236654187,0.9802743119451349,0.9922419858771077
2015-04-23 00:00:00-04:00,1.0065510746873256,1.0135686532637564,1.0099645332300464,1.0050139102818008,1.0041961652517624,1.0,0.9997646784215297,0.9951275762534876,0.9844954907299047,0.999477008734699
2015-04-24 00:00:00-04:00,1.0085789438059396,1.0273235665120013,1.0131526684336878,1.0016712572305886,1.0069111489376728,1.0,1.0001178724093596,0.9986203738058692,0.9906359166542043,0.9854428334102568
2015-04-27 00:00:00-04:00,1.0045757459431495,1.0247211325158259,1.0082702245392026,0.9906087234665913,1.0040725901625287,1.0002189376298953,1.0,0.9970576411026335,0.9906359166542043,1.0053172995455084
2015-04-28 00:00:00-04:00,1.007694940172607,1.0226764832491948,1.0081706528397556,0.9961000764185453,1.0064175363827188,1.0002189376298953,0.9995292510329972,0.9924615558113289,0.9769740268493385,1.0140341753244422
2015-04-29 00:00:00-04:00,1.0035875135670134,1.0162638727515882,1.0028897548000881,0.9852764718746769,1.0006167291095338,1.0002189376298953,0.9996469118222323,0.9887843604486497,0.9650006690738195,1.0068863398458958
2015-04-30 00:00:00-04:00,0.9936047477565023,1.0002785861420276,0.9910324388698796,0.9644247695871375,0.9909908257532779,1.0002189376298953,0.9995292510329972,0.9885084524271728,0.9666899575461504,0.9891039052763327
2015-05-01 00:00:00-04:00,1.0040035765321553,1.013475791216414,1.0023916452817616,0.9707121144044107,1.0016041834867686,1.0,0.9991169092203629,0.9831044430230567,0.9536761124458547,0.9857043290429074
2015-05-04 00:00:00-04:00,1.0071231494309782,1.0151487626266165,1.0040853682567263,0.9742138688156622,1.0040725901625287,1.0002189376298953,0.9991169092203629,0.981079166232646,0.9446775423500278,0.9945955130754467
2015-05-05 00:00:00-04:00,0.9953726603558262,0.9986059209545698,0.991430725667668,0.9617986963112599,0.9938296137957487,1.0002189376298953,0.9988810585915813,0.9794212215881455,0.9433701062961246,0.9973849106645261
2015-05-06 00:00:00-04:00,0.9913690838236707,0.9917285408861336,0.9882426741377237,0.9651410721824022,0.9911141715751846,1.0002189376298953,0.9985280762238758,0.9746336793733573,0.9272193677846213,0.9968619193992251
2015-05-07 00:00:00-04:00,0.9953726603558262,0.9976766114799691,0.9926266738190943,0.9688024130188153,0.9961744453822752,1.0,0.9981743531857347,0.9787767762063121,0.9396782863117028,0.9886680348855923
2015-05-08 00:00:00-04:00,1.008422932027429,1.0101301546187538,1.0050817546407733,0.9760443659963252,1.0076516824037671,1.0002189376298953,0.9995875523773035,0.9825518521993872,0.9422166063895074,0.9934623431657996
2015-05-11 00:00:00-04:00,1.0035875135670134,1.0062268864029216,1.0016940576697528,0.9766017058215853,1.0039495882416125,1.0,0.9986451021527375,0.9728850853851392,0.9192977455654098,0.9896268965416338
2015-05-12 00:00:00-04:00,1.0006761141517735,1.0016726651874577,0.9989036235480208,0.9748506900259246,1.0016041834867686,1.0002189376298953,0.9987623397017236,0.973621040978152,0.9216819025630331,0.998082276687917
2015-05-13 00:00:00-04:00,1.0009877590394294,1.0037173910097748,0.9984056813770883,0.9748506900259246,1.001851104397909,1.0002189376298953,0.9992343583894735,0.9723328389084545,0.9142985651713831,1.015951898636525
2015-05-14 00:00:00-04:00,1.011438749520155,1.0184013840655617,1.010462475400979,0.9851968518996398,1.0129583039536807,1.0,1.000177443474413,0.9756469203757858,0.916759954997694,1.0214435064356389
2015-05-15 00:00:00-04:00,1.0124782915952915,1.0184013840655617,1.0119568039559586,0.9840826573142415,1.0155498271840206,1.0,1.000177443474413,0.9826437928442975,0.9351409900038329,1.024494399657369
2015-05-18 00:00:00-04:00,1.0155983378308209,1.022862283899566,1.0153449192954642,0.9952246724632411,1.01740127548292,1.0,0.9995875523773035,0.9760150273024115,0.919451530424099,1.0244072122783239
2015-05-19 00:00:00-04:00,1.015078235457558,1.0217472503302805,1.0141490548177348,0.9938717565427663,1.0159202085507313,1.0,0.9989988251908787,0.9716879630928902,0.911298966161809,1.0101987287002763
2015-05-20 00:00:00-04:00,1.014402594642491,1.0223975908844225,1.0128540370090435,0.9957021844284117,1.0136984935187847,1.0,0.9993526540390822,0.9738051805282111,0.9128374199030891,1.0118549563797088
2015-05-21 00:00:00-04:00,1.0174699111689003,1.0276952443684297,1.0162413992852761,0.994587920547996,1.0157966334614976,1.0002189376298953,0.9997060596470366,0.9796052750514583,0.9256045133019364,1.0084553801462832
2015-05-22 00:00:00-04:00,1.0152341525687274,1.0266729962908006,1.015244929227532,0.9902902435664427,1.0111071995557717,1.0002189376298953,0.9989988251908787,0.9773955143640041,0.9259890132708087,1.0076708267438474
2015-05-26 00:00:00-04:00,1.0043155054218353,1.0148698702618442,1.0044839897493028,0.9808194856480318,1.0016041834867686,1.0002189376298953,0.9991169092203629,0.9834725499496823,0.9418320307763367,0.9929393519004986
2015-05-27 00:00:00-04:00,1.0135703740448656,1.0312269112835195,1.014249044885667,0.9928369047523354,1.010243205634107,1.0002189376298953,0.9992343583894735,0.9829196147790282,0.9439855483080754,0.9927649771424087
